417,8630,8630,1675,7
418,8940,8940,2262,78
419,1756,1756,324,0
420,63129,63129,40366,1074
421,2241,2241,638,10
422,28358,28358,7134,54
423,7347,7347,1095,32
424,4107,4107,1164,995
425,23164,23164,4152,1071
426,68555,68555,11355,182
427,12437,12437,14464,8
428,30510,30510,14288,1122
429,71461,71461,10200,5734
430,17955,17955,2078,653
431,1083,1083,214,1
432,46,46,14,1
433,1391,1391,635,5
434,1487,1487,441,3
435,6551,6551,1042,559
436,4836,4836,2908,56
437,2153,2153,1896,7
438,25984,25984,5967,75
439,1776,1776,278,2
440,10097,10097,2390,108
441,18142,18142,8068,7
442,7044,7044,1816,374
443,7950,7950,1930,5
444,7999,7999,1441,8
445,20961,20961,6559,165
446,9514,9514,1747,927
447,2756,2756,451,51
448,4881,4881,4697,5766
449,0,0,1,0
450,10591,10591,2877,102
451,9529,9529,1369,342
452,1003,1003,419,542
453,1672,1672,1540,26
454,3,3,249,0
455,1207,1207,351,10
456,14815,14815,3666,435
457,1290,1290,770,4
458,202,202,172,56
459,319,319,206,142
460,192,192,152,31
461,8500,8500,2367,281
462,6210,6210,2418,387
463,177,177,405,8
464,12187,12187,1803,404
465,4326,4326,1413,65
466,1975,1975,1829,93
467,8284,8284,2271,40
468,5785,5785,3103,308
469,42251,42251,7655,277
470,4168,4168,2334,162
471,11469,11469,1729,44
472,8484,8484,1525,149
473,25,25,6,0
474,4426,4426,853,142
475,2715,2715,302,71
476,15321,15321,2600,22
477,5178,5178,1226,190
478,4811,4811,505,40
479,7592,7592,3176,30
480,1516,1516,468,80
481,526,526,242,8
482,2797,2797,326,24
483,14668,14668,1648,126
484,681,681,90,60
485,0,0,1,0
486,1137,1137,503,1384
487,180,180,90,50
488,692,692,189,115
489,43,43,9,0
490,11676,11676,1338,0
491,15342,15342,4603,411
492,20353,20353,2694,2096
493,1542,1542,400,67
494,2509,2509,449,55
495,18289,18289,3262,44
496,13209,13209,3349,509
497,240,240,350,8
498,10991,10991,2059,9
499,4354,4354,249,2
500,1645,1645,542,32
501,4,4,1924,1
502,225,225,39,9
503,1006,1006,98,65
504,3316,3316,771,319
505,229,229,37,5
506,2525,2525,157,2
507,4644,4644,368,10
508,782,782,122,0
509,1124,1124,114,0
510,8041,8041,700,94
511,153,153,72,32
512,5716,5716,1443,179
513,14515,14515,2483,2253
514,440,440,126,57
515,1374,1374,333,106
516,969,969,210,84
517,1363,1363,181,41
518,195,195,107,32
519,1450,1450,368,39
520,256,256,25,10
521,47,47,195,3
522,8328,8328,1299,8
523,8346,8346,737,1
524,2728,2728,144,19
525,6968,6968,880,114
526,51325,51325,8330,423
527,216,216,36,3
